CARTE DE ROUTAGE DES CATÉGORIES DE SIGNALEMENT
Générée le 2026-07-24 depuis la base de données (post-migration 060)

cat_id | libellé                                  | domaine     | direction pilote                               | exécutant (EPIC/direction)
-------|------------------------------------------|-------------|------------------------------------------------|--------------------------------------------
    70 | Absence de rampe / main courante         | general     | Direction des Travaux publics de la Wilaya d'A | ASROUT — Établissement de maintenance des ré
    72 | Autre accessibilité                      | general     | Direction des Travaux publics de la Wilaya d'A | ASROUT — Établissement de maintenance des ré
    71 | Place PMR occupée / non conforme         | general     | Direction des Transports de la Wilaya d'Alger  | EGCTU — Établissement de Gestion de la Circu
    69 | Trottoir non accessible PMR              | general     | Direction des Travaux publics de la Wilaya d'A | ASROUT — Établissement de maintenance des ré
    65 | Animal errant (chien, chat)              | general     | Direction de la Propreté                       | NETCOM — Entreprise de Nettoiement et Collec
    66 | Animal mort sur la voie publique         | general     | Direction de la Propreté                       | NETCOM — Entreprise de Nettoiement et Collec
    68 | Autre animal                             | general     | Direction de la Propreté                       | NETCOM — Entreprise de Nettoiement et Collec
    67 | Nid d'insectes dangereux                 | general     | Direction de la Propreté                       | NETCOM — Entreprise de Nettoiement et Collec
    40 | Autre assainissement                     | general     | Direction de l'Eau et de l'Assainissement      | Direction de l'Eau et de l'Assainissement
    38 | Odeurs nauséabondes                      | general     | Direction de l'Eau et de l'Assainissement      | Direction de l'Eau et de l'Assainissement
    39 | Refoulement eaux usées                   | general     | Direction de l'Eau et de l'Assainissement      | Direction de l'Eau et de l'Assainissement
    37 | Regard/avaloir bouché                    | general     | Direction de l'Eau et de l'Assainissement      | Direction de l'Eau et de l'Assainissement
    36 | Autre problème                           | general     | (aucun)                                        | (aucun)
    42 | Accessibilité non conforme               | general     | Direction des Travaux publics de la Wilaya d'A | ASROUT — Établissement de maintenance des ré
    44 | Autre bâtiment public                    | general     | Direction des Travaux publics de la Wilaya d'A | ASROUT — Établissement de maintenance des ré
    41 | Bâtiment dégradé                         | general     | Direction des Travaux publics de la Wilaya d'A | ASROUT — Établissement de maintenance des ré
    43 | Équipement défectueux                    | general     | Direction des Travaux publics de la Wilaya d'A | ASROUT — Établissement de maintenance des ré
    14 | Autre eau                                | eau         | Direction de l'Eau et de l'Assainissement      | Direction de l'Eau et de l'Assainissement
     9 | Coupure d'eau ou pression faible         | eau         | Direction de l'Eau et de l'Assainissement      | Direction de l'Eau et de l'Assainissement
    10 | Eau non potable ou colorée               | eau         | Direction de l'Eau et de l'Assainissement      | Direction de l'Eau et de l'Assainissement
     8 | Fuite d'eau visible                      | eau         | Direction de l'Eau et de l'Assainissement      | Direction de l'Eau et de l'Assainissement
    11 | Fuite sur compteur                       | eau         | Direction de l'Eau et de l'Assainissement      | Direction de l'Eau et de l'Assainissement
    13 | Inondation ou refoulement                | eau         | Direction de l'Eau et de l'Assainissement      | Direction de l'Eau et de l'Assainissement
    12 | Pression insuffisante                    | eau         | Direction de l'Eau et de l'Assainissement      | Direction de l'Eau et de l'Assainissement
    26 | Autre éclairage                          | general     | Direction de l'Éclairage public                | ERMA — Établissement public de Réalisation e
    25 | Câble électrique apparent                | general     | Direction de l'Éclairage public                | ERMA — Établissement public de Réalisation e
     6 | Éclairage défaillant                     | proprete    | Direction de l'Éclairage public                | ERMA — Établissement public de Réalisation e
    24 | Lampadaire clignotant ou défectueux      | general     | Direction de l'Éclairage public                | ERMA — Établissement public de Réalisation e
    23 | Lampadaire éteint                        | general     | Direction de l'Éclairage public                | ERMA — Établissement public de Réalisation e
    60 | Autre environnement                      | general     | Direction de l'Environnement                   | Établissement de gestion des centres d'enfou
    58 | Cours d'eau / oued pollué                | general     | Direction de l'Environnement                   | Établissement de gestion des centres d'enfou
    57 | Déversement illicite                     | general     | Direction de l'Environnement                   | Établissement de gestion des centres d'enfou
    59 | Terrain vague insalubre                  | general     | Direction de l'Environnement                   | Établissement de gestion des centres d'enfou
    20 | Aire de jeux endommagée                  | general     | Direction de l'Environnement                   | EDEVAL — Entreprise de Développement des Esp
    15 | Arbre dangereux ou espace vert dégradé   | proprete    | Direction de l'Environnement                   | EDEVAL — Entreprise de Développement des Esp
    18 | Arrosage défectueux ou fuite             | general     | Direction de l'Environnement                   | EDEVAL — Entreprise de Développement des Esp
    22 | Autre espaces verts                      | general     | Direction de l'Environnement                   | EDEVAL — Entreprise de Développement des Esp
    19 | Mobilier urbain dégradé                  | general     | Direction de l'Environnement                   | EDEVAL — Entreprise de Développement des Esp
    21 | Plantation ou fleurissement à entretenir | general     | Direction de l'Environnement                   | EDEVAL — Entreprise de Développement des Esp
    52 | Autre mobilier urbain                    | general     | Direction de l'Environnement                   | EDEVAL — Entreprise de Développement des Esp
