commune_fr;commune_ar;quartier_fr;quartier_ar;statut
Alger-Centre;الجزائر الوسطى;Centre-ville;وسط المدينة;verifie
Alger-Centre;الجزائر الوسطى;Grande Poste;البريد المركزي;verifie
Alger-Centre;الجزائر الوسطى;Place Maurice Audin;ساحة موريس أودان;verifie
Alger-Centre;الجزائر الوسطى;Rue Didouche Mourad;شارع ديدوش مراد;verifie
Alger-Centre;الجزائر الوسطى;Rue Larbi Ben M'Hidi;شارع العربي بن مهيدي;verifie
Alger-Centre;الجزائر الوسطى;Port-Saïd;بور سعيد;verifie
Alger-Centre;الجزائر الوسطى;Place Emir Abdelkader;ساحة الأمير عبد القادر;verifie
Alger-Centre;الجزائر الوسطى;Place des Martyrs;ساحة الشهداء;verifie
Alger-Centre;الجزائر الوسطى;Telemly;التلملي;verifie
Alger-Centre;الجزائر الوسطى;Sacré-Cœur;ساكري كور;verifie
Alger-Centre;الجزائر الوسطى;Tafourah;تافورة;verifie
Alger-Centre;الجزائر الوسطى;Boulevard Zighoud Youcef;شارع زيغود يوسف;verifie
Alger-Centre;الجزائر الوسطى;Front de Mer;الواجهة البحرية;a_valider
Alger-Centre;الجزائر الوسطى;Rue Hassiba Ben Bouali;شارع حسيبة بن بوعلي;verifie
Alger-Centre;الجزائر الوسطى;Clauzel;كلوزيل;verifie
Alger-Centre;الجزائر الوسطى;Victor Hugo;فيكتور هيغو;verifie
Alger-Centre;الجزائر الوسطى;Boulevard Che Guevara;شارع شي غيفارا;verifie
Alger-Centre;الجزائر الوسطى;Plateau Saulière – Faculté;هضبة سوليار – الكلية;verifie
Sidi M'Hamed;سيدي امحمد;Sidi M'Hamed Centre;سيدي امحمد – الوسط;verifie
Sidi M'Hamed;سيدي امحمد;Agha;الأغا;verifie
Sidi M'Hamed;سيدي امحمد;Le Hamma;الحامة;verifie
Sidi M'Hamed;سيدي امحمد;Jardin d'Essai;حديقة التجارب;verifie
Sidi M'Hamed;سيدي امحمد;Cité AADL Hamma;حي عدل الحامة;a_valider
Sidi M'Hamed;سيدي امحمد;1er Mai;أول ماي;verifie
Sidi M'Hamed;سيدي امحمد;Place du 1er Mai;ساحة أول ماي;verifie
Sidi M'Hamed;سيدي امحمد;Oued Kniss;وادي كنيس;verifie
El Madania;المدنية;El Madania Centre;المدنية – الوسط;verifie
El Madania;المدنية;Diar El Mahçoul;ديار المحصول;verifie
El Madania;المدنية;Diar Es Saâda;ديار السعادة;verifie
El Madania;المدنية;Clos Salembier;كلو سالمبيي;verifie
El Madania;المدنية;Cité Malki;حي مالكي;a_valider
El Madania;المدنية;Cité des Frères Abdeslam;حي الإخوة عبد السلام;a_valider
El Madania;المدنية;Place Addis-Abeba;ساحة أديس أبابا;verifie
El Madania;المدنية;Bois des Arcades;غابة الأروقة;verifie
El Madania;المدنية;Cité du 11 Décembre;حي 11 ديسمبر;a_valider
Belouizdad;بلوزداد;Belouizdad Centre;بلوزداد – الوسط;verifie
Belouizdad;بلوزداد;Belcourt;بلكور;verifie
Belouizdad;بلوزداد;Le Ruisseau;الرويسو;verifie
Belouizdad;بلوزداد;Les Fusillés;لي فيزيي;verifie
Belouizdad;بلوزداد;Les Annassers;العناصر;verifie
Belouizdad;بلوزداد;Cité Amirouche;حي عميروش;a_valider
El Mouradia;المرادية;El Mouradia Centre;المرادية – الوسط;verifie
El Mouradia;المرادية;Golf;القولف;verifie
El Mouradia;المرادية;Parc de la Liberté;حديقة الحرية;verifie
El Mouradia;المرادية;Plateau;البلاطو;a_valider
El Mouradia;المرادية;Villa des Oliviers;فيلا الزياتين;a_valider
El Mouradia;المرادية;Rue Franklin Roosevelt;شارع فرانكلين روزفلت;verifie
El Mouradia;المرادية;Boulevard Krim Belkacem;شارع كريم بلقاسم;verifie
Bab El Oued;باب الوادي;Bab El Oued Centre;باب الوادي – الوسط;verifie
Bab El Oued;باب الوادي;Les Trois Horloges;الساعات الثلاث;verifie
Bab El Oued;باب الوادي;Nelson;نيلسون;verifie
Bab El Oued;باب الوادي;Triolet;تريوليه;verifie
Bab El Oued;باب الوادي;Basseta;الباصطة;verifie
Bab El Oued;باب الوادي;Climat de France;كليما دو فرانس;verifie
Bab El Oued;باب الوادي;Cité des Mûriers;حي التوت;a_valider
Bab El Oued;باب الوادي;Cité Ben Boulaïd;حي بن بولعيد;a_valider
Bab El Oued;باب الوادي;La Marine;لامارين;verifie
Bologhine;بولوغين;Bologhine Centre;بولوغين – الوسط;verifie
Bologhine;بولوغين;Saint-Eugène;سانت أوجين;verifie
